ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
801170.SI,20250901,2244.794,2258.131,2258.131,2241.19,2256.277,-11.483,-0.5089,51598468.99,38427592.237
801170.SI,20250829,2256.277,2290.182,2291.18,2253.85,2295.08,-38.803,-1.6907,52318244.77,41170441.091
801170.SI,20250828,2295.08,2281.453,2299.71,2252.85,2281.799,13.281,0.582,48116467.06,31675102.737
801170.SI,20250827,2281.799,2324.533,2324.99,2281.7,2325.738,-43.939,-1.8892,51494562.97,35137612.918
801170.SI,20250826,2325.738,2309.496,2330.23,2309.496,2310.525,15.213,0.6584,47602578.82,33407787.471
801170.SI,20250825,2310.525,2296.631,2310.602,2294.605,2291.75,18.775,0.8192,50495297.9,34029584.694
801170.SI,20250822,2291.75,2291.311,2291.75,2277.01,2292.357,-0.607,-0.0265,44919071.82,29967793.164
801170.SI,20250821,2292.357,2283.242,2297.8,2279.31,2283.413,8.944,0.3917,45431555.07,29036509.574
801170.SI,20250820,2283.413,2256.126,2283.413,2247.94,2258.142,25.271,1.1191,37066582.2,26871604.48
801170.SI,20250819,2258.142,2261.14,2266.24,2253.67,2261.144,-3.002,-0.1328,34950200.3,25429328.088
801170.SI,20250818,2261.144,2251.727,2271.09,2251.48,2250.311,10.833,0.4814,42442098.08,30290824.99
801170.SI,20250815,2250.311,2232.028,2251.71,2230.25,2235.181,15.13,0.6769,35098575.6,24991030.06
801170.SI,20250814,2235.181,2254.094,2258.49,2235.18,2253.168,-17.987,-0.7983,35935950.76,25019320.709
801170.SI,20250813,2253.168,2258.449,2258.53,2245.026,2255.827,-2.659,-0.1179,36510657.16,25747288.443
801170.SI,20250812,2255.827,2258.474,2262.79,2252.54,2256.657,-0.83,-0.0368,33455209.1,24362187.964
801170.SI,20250811,2256.657,2260.412,2260.54,2249.57,2260.944,-4.287,-0.1896,29406453.46,20960898.474
801170.SI,20250808,2260.944,2254.449,2262.7,2250.77,2256.05,4.894,0.2169,27304904.09,19526509.492
801170.SI,20250807,2256.05,2240.8,2258.13,2240.38,2239.66,16.39,0.7318,32310887.47,23695601.175
801170.SI,20250806,2239.66,2238.352,2239.73,2227.13,2239.271,0.389,0.0174,28580521.77,19535388.992
801170.SI,20250805,2239.271,2226.323,2239.82,2226.32,2225.648,13.623,0.6121,30691349.29,20404455.048
801170.SI,20250804,2225.648,2212.537,2226.518,2209.89,2217.19,8.458,0.3815,27934557.16,21457493.774
801170.SI,20250801,2217.19,2212.752,2232.84,2212.752,2208.98,8.21,0.3717,31636941.39,24352081.167
801170.SI,20250731,2208.98,2251.098,2251.1,2204.21,2258.128,-49.148,-2.1765,42025017.91,27990621.969
801170.SI,20250730,2258.128,2253.963,2272.83,2250.77,2251.622,6.506,0.2889,39064847.34,26968642.25
801170.SI,20250729,2251.622,2257.508,2259.71,2239.1,2259.307,-7.685,-0.3401,33706223.19,22705315.136
801170.SI,20250728,2259.307,2288.936,2288.936,2257.21,2290.968,-31.661,-1.382,44405359.27,28366265.208
801170.SI,20250725,2290.968,2308.594,2309.82,2289.71,2301.09,-10.122,-0.4399,61652154.33,36828456.216
801170.SI,20250724,2301.09,2267.592,2301.09,2265.44,2267.49,33.6,1.4818,54715631.36,33390478.963
801170.SI,20250723,2267.49,2275.037,2287.58,2267.49,2267.083,0.407,0.018,60723135.2,36863013.606
801170.SI,20250722,2267.083,2244.697,2267.083,2233.33,2243.641,23.442,1.0448,50113438.86,30684819.543
801170.SI,20250721,2243.641,2226.187,2244.43,2226.187,2225.302,18.339,0.8241,47844426.51,28664662.111
801170.SI,20250718,2225.302,2206.528,2225.79,2206.528,2205.429,19.873,0.9011,29786898.25,20746395.125
801170.SI,20250717,2205.429,2209.567,2213.81,2202.79,2213.981,-8.552,-0.3863,29935246.82,20608636.566
801170.SI,20250716,2213.981,2209.91,2218.97,2207.92,2210.348,3.633,0.1644,27121493.54,18170218.404
801170.SI,20250715,2210.348,2231.405,2232.04,2202.71,2231.042,-20.694,-0.9275,38370777.82,24252952.439
801170.SI,20250714,2231.042,2230.16,2239.22,2230.146,2228.192,2.85,0.1279,31623457.19,20791496.792
801170.SI,20250711,2228.192,2237.41,2245.25,2228.19,2237.094,-8.902,-0.3979,39603703.38,26130056.188
801170.SI,20250710,2237.094,2220.91,2241.7,2220.91,2220.68,16.414,0.7391,34602747.07,23167981.506
801170.SI,20250709,2220.68,2218.3,2229.12,2218.3,2218.681,1.999,0.0901,34808554.48,20758021.434
801170.SI,20250708,2218.681,2215.838,2219.54,2208.46,2213.737,4.944,0.2233,30866442.91,20365436.181
